Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
372,Arijanet Muric,xk KVX,GK,Ipswich Town,25.0,1998,18.0,18.0,1.62,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
373,Murillo,br BRA,DF,Nott'ham Forest,22.0,2002,36.0,36.0,3.188,35.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,1.2,2.6,22.0,115.0,5.0,0.06,0.00,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,55.0
374,Jacob Murphy,eng ENG,FW,Newcastle Utd,29.0,1995,35.0,31.0,2.36,26.2,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0,5.7,5.7,8.9,14.6,79.0,83.0,231.0,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,16.0
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25.0,1999,35.0,35.0,3.082,34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.6,3.1,33.0,110.0,99.0,0.03,0.06,0.09,0.03,0.09,0.01,0.08,0.09,0.01,0.09,28.0
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
376,Iliman Ndiaye,sn SEN,FW,Everton,24.0,2000,33.0,29.0,2.43,27.0,9.0,0.0,9.0,7.0,2.0,2.0,3.0,0.0,6.2,4.7,1.9,6.5,86.0,59.0,122.0,0.33,0.00,0.33,0.26,0.26,0.23,0.07,0.3,0.17,0.24,22.0
377,Wilfred Ndidi,ng NGA,MF,Leicester City,27.0,1996,28.0,28.0,2.324,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,1.9,3.9,18.0,70.0,75.0,0.00,0.19,0.19,0.00,0.19,0.08,0.07,0.15,0.08,0.15,
378,Kosta Nedeljković,rs SRB,DF,Aston Villa,18.0,2005,5.0,0.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
379,Reiss Nelson,eng ENG,FW,Arsenal,24.0,1999,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,16.0
380,Reiss Nelson,eng ENG,FW,Fulham,24.0,1999,11.0,5.0,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,45.0,35.0,63.0,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,16.0
